asset_type,category,file_name,license_note,commons_url,cleared_status,attribution_required,attribution_text_drafted,reviewed_by,review_date,notes
image,3D Geometric Solids,Platonic solids inscribed in the sphere.JPG,CC BY-SA (verify version on file page),https://commons.wikimedia.org/wiki/File:Platonic_solids_inscribed_in_the_sphere.JPG,Cleared with attribution,Yes,,,,
image,3D Geometric Solids,Platonische Koerper Escher.jpg,CC BY-SA (verify version on file page),https://commons.wikimedia.org/wiki/File:Platonische_Koerper_Escher.jpg,Cleared with attribution,Yes,,,,
image,3D Geometric Solids,Pravilni dodekaedar.png,CC BY-SA (verify version on file page),https://commons.wikimedia.org/wiki/File:Pravilni_dodekaedar.png,Cleared with attribution,Yes,,,,
image,3D Geometric Solids,Pravilni ikosaedar.png,CC BY-SA (verify version on file page),https://commons.wikimedia.org/wiki/File:Pravilni_ikosaedar.png,Cleared with attribution,Yes,,,,
image,3D Geometric Solids,Pravilni oktaedar.png,CC BY-SA (verify version on file page),https://commons.wikimedia.org/wiki/File:Pravilni_oktaedar.png,Cleared with attribution,Yes,,,,
image,3D Geometric Solids,Pravilni tetraedar.png,CC BY-SA (verify version on file page),https://commons.wikimedia.org/wiki/File:Pravilni_tetraedar.png,Cleared with attribution,Yes,,,,
image,3D Geometric Solids,All Platonic solids & Some Archimedean solids.jpg,CC BY-SA (verify version on file page),https://commons.wikimedia.org/wiki/File:All_Platonic_solids_&_Some_Archimedean_solids.jpg,Cleared with attribution,Yes,,,,"FILE MISSING - not downloaded, see Asset_Manifest.csv"
image,3D Geometric Solids,Models of four platonic solids.JPG,CC BY-SA (verify version on file page),https://commons.wikimedia.org/wiki/File:Models_of_four_platonic_solids.JPG,Cleared with attribution,Yes,,,,
image,3D Geometric Solids,Platonic solids sg01.jpg,CC BY-SA (verify version on file page),https://commons.wikimedia.org/wiki/File:Platonic_solids_sg01.jpg,Cleared with attribution,Yes,,,,
image,3D Geometric Solids,Polyhedra.jpg,CC BY-SA (verify version on file page),https://commons.wikimedia.org/wiki/File:Polyhedra.jpg,Cleared with attribution,Yes,,,,
